Role ID,Role,Side,Domain,What They Do,Surface,Layer,Phase,Base Clearance (Tier),Tier Name,Capabilities (effective),Custom Capabilities / Denies,Data Scope Restriction,PII / PHI Access,Dual Control,Clinical Gate Relation
PL-001-ADM,Global Super Admin,Company,ADMIN,Root. Every action logged. Even root cannot publish a recipe that has not cleared the Clinical Review Gate.,Layer 1 Super Admin Control Plane,L1,MVP,T0,Root Authority,* (all zones),household:delete:any | iam:dual_control_root | config:global,global,"Governed (full, dual-control)",Yes,cannot_bypass_clinical_gate
PL-002-ADM,Super Admin Manager,Company,ADMIN,Manages Super Admin staff & scopes. Cannot self-escalate to root; root settings hidden.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,iam:invite | iam:grant_role | iam:revoke_role | iam:manage_scope | audit:read_global | report:read_operational | monitor:system_health | view,iam:admin_personnel_manage | DENY:billing:manage | DENY:config:global,zone:admin-personnel,None (internal identity only),Yes (scope grants),n/a
PL-003-ADM,Product Admin,Company,ADMIN / PRODUCT,Product/feature config only. Staged changes require approval before publish.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,config:product | config:feature_flag | config:schema_defaults | audit:read_scoped | report:read_operational | view,config:household_onboarding_defaults | DENY:clinical_controls | DENY:commerce_controls,zone:product-config,None,No,n/a
PL-004-ADM,Clinical Review Admin,Company,ADMIN / CLINICAL,Governs the gate (config + reviewer assignment). Cannot itself approve a recipe — separation of duties.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,recipe:clinical_gate_configure | recipe:clinical_gate_assign | iam:manage_scope:reviewers | monitor:queue | audit:read_scoped | report:read_operational | view,gate:rule_configure | reviewer:assign,zone:clinical-review,De-identified review context,No,governs_gate
PL-005-ADM,Recipe Library Admin,Company,ADMIN / FOOD,Accepts gate-cleared recipes into Master Library. Public publishing toggle is blocked (split from Publishing Admin).,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,library:accept | library:tag | library:lineage_manage | library:quality_review | audit:read_scoped | view,DENY:publish:public,zone:master-library,None (recipe records),No,downstream_of_gate
PL-006-ADM,Taxonomy Admin,Company,ADMIN / FOOD,"Owns global categories, tags, Smart Filtering rules.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,taxonomy:edit | taxonomy:smartfilter | search:index_manage:config | audit:read_scoped | view,,zone:taxonomy,None,No,n/a
PL-007-ADM,Publishing Admin,Company,ADMIN / FOOD,"Controls public ship. SoD: must NOT also hold Recipe Library Admin. Can only publish gate-cleared, library-accepted records.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,publish:public | publish:hold | publish:retract | publish:schedule | audit:read_scoped | view,publish:schedule,zone:publishing,None,No,downstream_of_gate
PL-008-ADM,Commerce and Affiliate Admin,Company,ADMIN,"Retailer routing, product catalog links, affiliate tracking.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,commerce:configure | retailer:route_configure | product_catalog:manage | affiliate:manage | audit:read_scoped | view,,zone:commerce,None,No,n/a
PL-009-ADM,Compliance Admin,Company,ADMIN / COMPLIANCE,Owns compliance boundary + retention. Changes are dual-control and logged.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,compliance:configure | compliance:boundary_manage | retention:configure | privacy:review | audit:read_global | view,compliance:boundary_manage | retention:configure,zone:compliance,"Governed (policy, not row-level PHI)",Yes (boundary/retention),n/a
PL-010-ADM,Model Ops Admin,Company,ADMIN / ENGINEERING,Runs Care Team Model Route Registry & ChairwomanAI config. Separate API-key boundaries per specialist route.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,model:route_configure | model:run_monitor | model:key_manage | monitor:system_health | audit:read_scoped | view,model:key_manage,zone:model-ops,None (no PHI in route registry),Yes (key management),n/a
PL-011-ADM,Support Admin,Company,ADMIN / SUPPORT,"Owns support tooling, escalation paths, support staff access.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,support:ticket_manage | support:account_state | support:escalate | iam:manage_scope:support | audit:read_scoped | view,,zone:support,"Scoped (least-necessary, consent/ticket-bound, time-boxed)",No,n/a
PL-012-ADM,Reporting Admin,Company,ADMIN / DATA,"Builds & governs admin reporting across tenants, recipes, ops.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,report:build | report:read_operational | report:read_aggregate | data:catalog_manage:read | audit:read_scoped | view,,zone:reporting,Aggregate / de-identified,No,n/a
PL-013-ADM,System Health Admin,Company,ADMIN / ENGINEERING,"Uptime, incident response across layers.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,monitor:system_health | monitor:incident | model:run_monitor:read | audit:read_scoped | view,,zone:system-health,None,No,n/a
PL-014-ADM,Audit Admin,Company,ADMIN / COMPLIANCE,"Owns global audit log. Append-only: can configure & export, CANNOT edit or delete entries.",Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,audit:read_global | audit:configure | audit:export | retention:configure:audit | view,audit:configure | DENY:audit:mutate,zone:audit,Metadata (audit records),Yes,n/a
PL-015-ADM,Review Queue Admin,Company,ADMIN,Balances every review queue so nothing stalls.,Layer 1 Super Admin Control Plane,L1,MVP,T1,Platform Governor,queue:configure | queue:balance | assign | monitor:queue | audit:read_scoped | view,,zone:review-queues,None,No,n/a
PL-016-PRD,Product Owner,Company,PRODUCT,Owns product vision & final product decisions. Cannot grant access or touch PHI.,Internal Product Workspace,L1/L2,MVP,T2,Manager / Approver,config:product:propose | report:read_operational | assign | approve:work | comment | view,roadmap:decide,internal-noPHI,None,No,n/a
PL-017-PRD,Product Manager,Company,PRODUCT,"Turns journeys into specs, runs delivery.",Internal Product Workspace,L1/L2,MVP,T2,Manager / Approver,create | edit | assign | comment | report:read_operational | view,,internal-noPHI,None,No,n/a
PL-018-PRD,Product Designer,Company,PRODUCT / DESIGN,End-to-end flows.,Internal Design Workspace,L2/L3,MVP,T4,Contributor,content:create_draft | edit | comment | view,,internal-deid,De-identified (consented research only),No,n/a
PL-019-PRD,UX Designer,Company,PRODUCT / DESIGN,"Owns flows, states, interaction logic.",Internal Design Workspace,L2/L3,MVP,T4,Contributor,content:create_draft | edit | comment | view,,internal-deid,De-identified,No,n/a
